,headlines,text,source,link
6966,Russell plays in GT20 Canada after withdrawal from T20Is vs India,"Andre Russell showed up to play for the Global T20 League's Vancouver Knights against Edmonton Royals in Canada after the Windies board announced that Russell had pulled out of the first two India-Windies T20Is. ""[I]f we need to get him ready for the Twenty20 World Cup, we have to do without him for a couple of series,"" Carlos Brathwaite said.",CricTracker,https://www.crictracker.com/andre-russell-plays-in-global-t20-canada-after-withdrawal-from-the-first-two-t20is-against-india/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6967,"Satwik, Chirag 1st Indian duo to enter a BWF Super 500 final","Satwik SaiRaj Rankireddy and Chirag Shetty on Saturday became the first Indian team to enter the summit clash of a BWF Super 500 tournament after registering a win in their Thailand Open semi-final match. The world number 16 pair, that won the Commonwealth Games 2018 silver medal, beat the 19th-ranked Korean team of Ko Sung Hyun and Shin Baek Cheol.",ANI,https://www.aninews.in/news/sports/others/thailand-open-rankireddy-shetty-seal-final-berth20190803154913/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6969,Mediation attempts made before Mahabharata too: Yogi on Ayodhya case,"Uttar Pradesh CM Yogi Adityanath on Saturday said he knew that the mediation attempts to resolve the Ayodhya land dispute would fail to provide a solution. ""Mediation attempts were made before Mahabharata too, but their result was unfruitful,"" he added. After the mediation attempts failed, the Supreme Court decided to hold the hearing of the case on a day-to-day basis.",The Financial Express,https://www.financialexpress.com/india-news/we-already-knew-mediation-on-ram-mandir-would-fail-yogi-adityanath/1665141/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6972,3 held in UP for spreading communal rumours in youth's death case,"Police on Thursday arrested three persons for spreading communal disharmony by allegedly spreading rumours saying a youth was set on fire for refusing to chant 'Jai Shri Ram' in Uttar Pradesh's Chandauli. Police had dismissed the claim saying that the victim gave three different statements. As per reports, the youth had set himself on fire while attempting a magic trick.",New Indian Express,http://newindianexpress.com/nation/2019/aug/03/trio-held-for-spreading-rumour-on-social-media-in-up-immolation-case-2013309.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6973,Unnao rape survivor on ventilator contracts pneumonia: Reports,"The Unnao rape survivor, who is on the ventilator at a Lucknow hospital, has contracted pneumonia, as per reports. She is being administered with blood pressure medicines, a statement from the hospital read. Her lawyer, who was also critically injured in the car-truck collision, is off the ventilator. However, two of her aunts were killed in the accident.",The Quint,https://www.thequint.com/news/india/unnao-rape-survivor-car-truck-accident-case-live-updates?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6974,Mamata Banerjee declares rural West Bengal open-defecation free,"West Bengal Chief Minister Mamata Banerjee on Friday tweeted that the state's rural area has now become open-defecation free. ""Government of India has confirmed our achievement which was our mission towards a cleaner and greener environment and safe living,"" the CM tweeted. Notably, West Bengal's Nadia was declared India's first open-defecation free district in 2015.",The New Indian Express,http://www.newindianexpress.com/nation/2019/aug/03/mamata-banerjee-declares-rural-bengal-open-defecation-free-2013583.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6975,New wave of terror attacks possible before end of year: UN,"A United Nations report has warned that a new spate of terror attacks across the world may occur before the end of the year. The UN report was collated from data provided by the intelligence agencies of its member states. The report claims that foreign fighters, up to 30,000, who traveled to ISIS caliphate to fight still pose a threat.",The Guardian,https://www.theguardian.com/world/2019/aug/03/new-wave-of-terrorist-attacks-possible-before-end-of-year-un-says?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6976,US says it wants to deploy new missiles in Asia,"US Defence Secretary Mark Esper has said the US wants to deploy new intermediate-range missiles in Asia soon. ""I see the [US] taking corrective measures to develop a capability that we need for both the European and the Indo-Pacific Command theatre,"" he added. Esper's statement comes after the US formally withdrew from the Intermediate-Range Nuclear Forces (INF) Treaty with Russia.",Hindustan Times,https://www.hindustantimes.com/world-news/us-wants-to-quickly-deploy-new-missiles-in-asia-esper/story-8rHWbtX85XGXRuBI5klTEJ.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6978,N Korea publicly executed prisoners for trying to escape: UN report,"North Korea prisoners who tried to escape or steal were reportedly executed publicly, a United Nations report said. Female detainees were sexually assaulted by prison officials, including during ""invasive body searches"", UN chief António Guterres said in the report. The UN human rights office interviewed over 330 people who had experienced detention, mostly women, who escaped initially to China.",The Guardian,https://www.theguardian.com/world/2019/aug/03/north-korean-prisoners-publicly-executed-for-trying-to-escape-or-steal-un-says?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6979,"NIT Srinagar suspends classes, students evacuated over security reasons","After a government advisory on Friday asked Amarnath pilgrims and tourists to leave the valley, students were evacuated from National Institute of Technology, Srinagar. Several students were seen waiting for buses to leave the valley. This comes after the NIT administration issued a notice, stating that the classwork in the institute stands suspended till further orders.",Hindustan Times,https://www.hindustantimes.com/india-news/niit-students-in-srinagar-start-leaving-valley-after-overnight-advisory/story-jxh0K35KvJ3xQi5jjP8e5I.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
