43,Unforgettable: Yusuf who debuted in 2007 WT20 final recalls match,"All-rounder Yusuf Pathan, who made his international debut in the 2007 WT20 final against Pakistan, recalled the match on the occasion of the 12th anniversary of India's final victory. ""An unforgettable night, a nerve-wracking game - Exactly, 12 years ago, we lifted the...title... A significant day in the history of Indian cricket,"" he tweeted. Pathan scored 15(8) in the match.",Twitter,https://twitter.com/iamyusufpathan/status/1176423430591148032?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
44,You cannot compare me and Messi: Liverpool's Virgil van Dijk,"After losing out to Lionel Messi as the Best FIFA Men's Player of the Year, Liverpool defender Virgil van Dijk said, ""[A]s players, you can't compare me and Messi because it's totally different."" Van Dijk had earlier beaten Messi and Juventus forward Cristiano Ronaldo to win the UEFA Best Men's Player of the Year award.",Hindustan Times,https://www.hindustantimes.com/football/you-cannot-compare-me-and-messi-liverpool-s-virgil-van-dijk/story-pz5fSR3JVhUiiLbSujTqtI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
45,India's Korean badminton coach resigns for personal reasons,"India's South Korean coach Kim Ji Hyun, who helped PV Sindhu clinch her maiden world title recently, has resigned from her position due to personal reasons. The 45-year-old has gone to New Zealand to take care of her husband Ritchie Marr, who suffered a stroke. Kim was roped in by the Badminton Association of India early this year.",Hindustan Times,https://www.hindustantimes.com/other-sports/india-s-korean-badminton-coach-kim-ji-hyun-resigns-for-personal-reasons/story-lGL8JMkOIAoXt2P5DhBc4N.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
46,Company claims completing 1st drone flight with microturbine engine,"UAV Turbines on Tuesday announced the inaugural flight of its Monarch 5 engine, a first-of-its-kind microturbine propulsion system. The company says this marks 'the first time a small-to-medium-sized drone has been powered by a turbine engine'. It is engineered to provide mid-sized commercial and military unmanned air vehicles with a 'reliable, efficient, safe, heavy-fuel propulsion system'.",Engadget,https://www.engadget.com/2019/09/24/uav-turbines-monarch-5-first-flight/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
48,"Food brand Ketofy raises $250,000 in pre-Series A round","Low-carb food brand Ketofy, operated by Wellversed Health, has raised $250,000 in a pre-Series A round of funding from a group of investors. The investors include former Founding CTO of Indiabulls Tejinderpal Miglani, Indifi Technologies Co-founder Alok Mittal and Sarcha Advisors Founder Rohit Chanana. Based in Gurugram, the startup makes ultra-low-carb and ultra-low glycemic food products.",VCCircle,https://www.vccircle.com/food-brand-ketofy-chomps-through-pre-series-a-funding-from-indiabulls-co-founder-others?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
49,Low-lying areas in Bihar flooded as Ganga's water level rises,"Low-lying areas in Bihar's Lakhisarai have flooded following the rise in the water level of Ganga river. As per reports, locals have alleged that the concerned officials aren't providing any relief measures to the flood-affected victims. ""We're witnessing this kind of situation after 30 years...The water has entered the houses and due to which diseases are spreading,"" a local said.",ANI,https://www.aninews.in/news/national/general-news/bihar-low-lying-areas-flooded-due-to-rise-in-water-level-of-river-ganga20190924185941/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
50,"Trump criticises China, says it has broken promises on trade","Addressing the UN General Assembly, US President Donald Trump on Tuesday criticised China and its trade practices. He accused it of not adopting ""promised reforms"". Trump added, ""China has embraced an economic model dependent on massive market barriers, heavy state subsidies, currency manipulation, product dumping, forced technology transfers and intellectual property theft...on a grand scale.""",Reuters,https://www.reuters.com/article/us-un-assembly-trump-china/trump-says-hopes-china-u-s-can-reach-trade-deal-idUSKBN1W91ZC?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
51,Venezuelan President Maduro is a 'Cuban puppet': Trump,"US President Donald Trump during his speech at the United Nations General Assembly called Venezuelan President Nicolas Maduro a ""Cuban puppet"". ""Dictator Maduro... protected by Cuban bodyguards, hiding from his own people while Cuba plunders Venezuela's oil wealth to sustain its own corrupt, Communist rule,"" he said. The US has recognised Venezuelan opposition leader Juan Guaido as the president.",The Guardian,https://www.theguardian.com/world/live/2019/sep/24/trump-bolsonaro-and-johnson-to-open-un-general-assembly-live-news?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
52,We'll have trade deal with India soon: Trump during meet with PM Modi,"During a bilateral meeting with Prime Minister Narendra Modi on Tuesday, US President Donald Trump said that the US and India will have a trade deal very soon. The US had ended its preferential trade treatment for India in June. Trump met PM Modi in New York on the sidelines of the United Nations General Assembly (UNGA) session.",Twitter,https://twitter.com/ANI/status/1176535376799756293?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
53,"19 killed, 300 injured after 5.8-magnitude earthquake hits PoK","At least 19 people were killed and 300 others were injured after a 5.8-magnitude earthquake hit Pakistan-occupied Kashmir (PoK) on Tuesday, officials said. The earthquake's epicentre was close to the city of Mirpur in PoK. The tremors were also felt in several Pakistani cities, including Peshawar, Rawalpindi, Lahore and Multan.",Livemint,https://www.livemint.com/news/india/earthquake-tremors-felt-in-delhi-ncr-surrounding-areas-1569323939660.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
